Architecture,Dataset,CP,EP Ann.,Annealing,Subsampling,Acc,Time,Máquina,tf
RESNET44,CIFAR10,-,-,0,Sem,0.9367,2:40:00 ,vm02,2.17
RESNET44,CIFAR10,25,-,1,Sem,0.9323,1:06:40 ,vm02,2.17
RESNET44,CIFAR10,25,199,0.99,Sem,0.9258,1:07:12 ,vm02,2.17
RESNET44,CIFAR10,25,192,0.95,Sem,0.9285,1:10:56 ,vm02,2.17
RESNET44,CIFAR10,25,183,0.9,Sem,0.9268,1:15:44 ,vm02,2.17
RESNET44,CIFAR10,25,179,0.875,Sem,0.9289,1:17:52 ,vm02,2.17
RESNET44,CIFAR10,25,174,0.85,Sem,0.9283,1:20:32 ,vm02,2.17
RESNET44,CIFAR10,25,165,0.8,Sem,0.9277,1:25:20 ,vm02,2.17
RESNET44,CIFAR10,25,113,0.5,Sem,0.9322,1:53:04 ,vm02,2.17
,,,,,,,,,
RESNET44,CIFAR10,25,-,1,Com,0.8899,0:22:00 ,vm02,2.17
RESNET44,CIFAR10,25,199,0.99,Com,0.9082,0:23:15 ,vm02,2.17
RESNET44,CIFAR10,25,192,0.95,Com,0.9201,0:28:56 ,vm02,2.17
RESNET44,CIFAR10,25,183,0.9,Com,0.9223,0:36:22 ,vm02,2.17
RESNET44,CIFAR10,25,179,0.875,Com,0.9213,0:39:17 ,vm02,2.17
RESNET44,CIFAR10,25,174,0.85,Com,0.9213,0:43:32 ,vm02,2.17
RESNET44,CIFAR10,25,165,0.8,Com,0.9226,0:50:48 ,vm02,2.17
RESNET44,CIFAR10,25,113,0.5,Com,0.9236,1:33:51 ,vm02,2.17
,,,,,,,,,
RESNET56,CIFAR10,-,-,0,Sem,0.9392,3:25:00 ,vm02,2.17
RESNET56,CIFAR10,26,-,1,Sem,0.9322,1:27:18 ,vm02,2.17
RESNET56,CIFAR10,26,199,0.99,Sem,0.9322,1:28:14 ,vm02,2.17
RESNET56,CIFAR10,26,192,0.95,Sem,0.9334,1:32:57 ,vm02,2.17
RESNET56,CIFAR10,26,183,0.9,Sem,0.9322,1:39:02 ,vm02,2.17
RESNET56,CIFAR10,26,179,0.875,Sem,0.9323,1:41:44 ,vm02,2.17
RESNET56,CIFAR10,26,174,0.85,Sem,0.9340,1:45:06 ,vm02,2.17
RESNET56,CIFAR10,26,166,0.8,Sem,0.9336,1:50:30 ,vm02,2.17
RESNET56,CIFAR10,26,114,0.5,Sem,,,
,,,,,,,,,
RESNET56,CIFAR10,-,-,0,Sem,0.9411,7:15:29 ,vm02,2.14
RESNET56,CIFAR10,26,-,1,Sem,0.9286,2:46:58 ,vm02,2.14
RESNET56,CIFAR10,26,199,0.99,Sem,0.9301,2:48:31 ,vm02,2.14
RESNET56,CIFAR10,26,192,0.95,Sem,0.9308,2:59:22 ,vm02,2.14
RESNET56,CIFAR10,26,183,0.9,Sem,0.9306,3:13:19 ,vm02,2.14
RESNET56,CIFAR10,26,179,0.875,Sem,0.9289,3:19:31 ,vm02,2.14
RESNET56,CIFAR10,26,174,0.85,Sem,0.9305,3:27:16 ,vm02,2.14
RESNET56,CIFAR10,26,166,0.8,Sem,0.9297,3:39:40 ,vm02,2.14
RESNET56,CIFAR10,26,114,0.5,Sem,0.9360,5:00:16 ,vm02,2.14
,,,,,,,,,
RESNET56,CIFAR10,26,-,1,Com,0.8899,0:30:20 ,vm02,2.17
RESNET56,CIFAR10,26,199,0.99,Com,0.9100,0:31:54 ,vm02,2.17
RESNET56,CIFAR10,26,192,0.95,Com,0.9213,0:39:12 ,vm02,2.17
RESNET56,CIFAR10,26,183,0.9,Com,0.9276,0:48:25 ,vm02,2.17
RESNET56,CIFAR10,26,179,0.875,Com,0.9293,0:52:46 ,vm02,2.17
RESNET56,CIFAR10,26,174,0.85,Com,0.9293,0:57:59 ,vm02,2.17
RESNET56,CIFAR10,26,166,0.8,Com,0.9298,1:06:11 ,vm02,2.17
RESNET56,CIFAR10,26,114,0.5,Com,0.9379,2:03:11 ,vm02,2.17
,,,,,,,,,
RESNET110,CIFAR10,-,-,0,Sem,0.9428,7:09:53 ,vm02,2.14
RESNET110,CIFAR10,28,-,1,Sem,0.9340,3:09:26 ,vm02,2.14
RESNET110,CIFAR10,28,199,0.99,Sem,0.9353,3:10:36 ,vm02,2.14
RESNET110,CIFAR10,28,192,0.95,Sem,0.9354,3:20:24 ,vm02,2.14
RESNET110,CIFAR10,28,183,0.9,Sem,0.9351,3:33:00 ,vm02,2.14
RESNET110,CIFAR10,28,179,0.875,Sem,0.9358,3:38:36 ,vm02,2.14
RESNET110,CIFAR10,28,175,0.85,Sem,0.9364,3:44:12 ,vm02,2.14
RESNET110,CIFAR10,28,166,0.8,Sem,0.9368,3:56:48 ,vm02,2.14
RESNET110,CIFAR10,28,114,0.5,Sem,0.9403,5:09:36 ,vm02,2.14
,,,,,,,,,
RESNET110,CIFAR10,28,-,1,Com,0.8951,0:04:07 ,vm02,
RESNET110,CIFAR10,28,199,0.99,Com,0.9077,1:07:15 ,vm02,
RESNET110,CIFAR10,28,192,0.95,Com,0.9203,1:22:18 ,vm02,
RESNET110,CIFAR10,28,183,0.9,Com,0.9242,1:40:52 ,vm02,
RESNET110,CIFAR10,28,179,0.875,Com,0.9251,1:48:54 ,vm02,
RESNET110,CIFAR10,28,175,0.85,Com,0.9263,1:57:25 ,vm02,
RESNET110,CIFAR10,28,166,0.8,Com,0.9285,2:15:33 ,vm02,
RESNET110,CIFAR10,28,114,0.5,Com,0.9326,4:03:45 ,vm02,
,,,,,,,,,
RESNET44,CIFAR100,-,-,0,Sem,0.6864,5:48:33 ,vm02,2.14
RESNET44,CIFAR100,23,-,1,Sem,0.6730,2:26:43 ,vm02,2.14
RESNET44,CIFAR100,23,199,0.99,Sem,0.6750,2:28:12 ,vm02,2.14
RESNET44,CIFAR100,23,192,0.95,Sem,0.6777,2:36:26 ,vm02,2.14
RESNET44,CIFAR100,23,183,0.9,Sem,0.6795,2:47:00 ,vm02,2.14
RESNET44,CIFAR100,23,178,0.875,Sem,0.6814,2:52:53 ,vm02,2.14
RESNET44,CIFAR100,23,174,0.85,Sem,0.6790,2:57:35 ,vm02,2.14
RESNET44,CIFAR100,23,165,0.8,Sem,0.6783,3:08:09 ,vm02,2.14
RESNET44,CIFAR100,23,112,0.5,Sem,0.6882,4:10:26 ,vm02,2.14
,,,,,,,,,
RESNET44,CIFAR100,23,-,1,Com,0.3582,0:19:20 ,,
RESNET44,CIFAR100,23,199,0.99,Com,0.4670,0:20:33 ,,
RESNET44,CIFAR100,23,192,0.95,Com,0.5920,0:26:06 ,,
RESNET44,CIFAR100,23,183,0.9,Com,0.6293,0:33:19 ,,
RESNET44,CIFAR100,23,178,0.875,Com,0.6386,0:38:05 ,,
RESNET44,CIFAR100,23,174,0.85,Com,0.6454,0:40:23 ,,
RESNET44,CIFAR100,23,165,0.8,Com,0.6542,0:47:47 ,,
RESNET44,CIFAR100,23,112,0.5,Com,0.6773,1:29:43 ,,
,,,,,,,,,
RESNET56,CIFAR100,-,-,0,Sem,0.6911,6:02:33 ,vm03,2.14
RESNET56,CIFAR100,25,-,1,Sem,0.6670,2:38:32 ,vm03,2.14
RESNET56,CIFAR100,25,199,0.99,Sem,0.6631,2:39:44 ,vm03,2.14
RESNET56,CIFAR100,25,192,0.95,Sem,0.6708,2:48:08 ,vm03,2.14
RESNET56,CIFAR100,25,183,0.9,Sem,0.6741,2:59:56 ,vm03,2.14
RESNET56,CIFAR100,25,179,0.875,Sem,0.6764,3:03:44 ,vm03,2.14
RESNET56,CIFAR100,25,174,0.85,Sem,0.6724,3:09:44 ,vm03,2.14
RESNET56,CIFAR100,25,165,0.8,Sem,0.6722,3:20:52 ,vm03,2.14
RESNET56,CIFAR100,25,113,0.5,Sem,0.6790,4:43:36 ,vm03,2.14
,,,,,,,,,
RESNET56,CIFAR100,25,-,1,Com,0.5705,0:50:54 ,vm03,
RESNET56,CIFAR100,25,199,0.99,Com,0.6339,0:54:57 ,vm03,
RESNET56,CIFAR100,25,192,0.95,Com,0.6609,1:05:01 ,vm03,
RESNET56,CIFAR100,25,183,0.9,Com,0.6669,1:21:54 ,vm03,
RESNET56,CIFAR100,25,179,0.875,Com,0.6671,1:29:07 ,vm03,
RESNET56,CIFAR100,25,174,0.85,Com,0.6678,1:38:28 ,vm03,
RESNET56,CIFAR100,25,165,0.8,Com,0.6738,1:57:27 ,vm03,
RESNET56,CIFAR100,25,113,0.5,Com,0.6666,3:36:07 ,vm03,
,,,,,,,,,
RESNET110,CIFAR100,-,-,0,Sem,0.7126,11:24:30 ,vm03,2.14
RESNET110,CIFAR100,27,-,1,Sem,0.6896,4:50:49 ,vm03,2.14
RESNET110,CIFAR100,27,199,0.99,Sem,0.6907,4:52:05 ,vm03,2.14
RESNET110,CIFAR100,27,192,0.95,Sem,0.6918,5:08:57 ,vm03,2.14
RESNET110,CIFAR100,27,183,0.9,Sem,0.6921,5:29:21 ,vm03,2.14
RESNET110,CIFAR100,27,179,0.875,Sem,0.6966,5:37:45 ,vm03,2.14
RESNET110,CIFAR100,27,175,0.85,Sem,0.6966,5:46:29 ,vm03,2.14
RESNET110,CIFAR100,27,166,0.8,Sem,0.6966,6:07:53 ,vm03,2.14
RESNET110,CIFAR100,27,114,0.5,Sem,0.7007,8:42:25 ,vm03,2.14
,,,,,,,,,
RESNET110,CIFAR100,27,-,1,Com,0.6160,1:39:32 ,vm03,
RESNET110,CIFAR100,27,199,0.99,Com,0.6579,1:43:20 ,vm03,
RESNET110,CIFAR100,27,192,0.95,Com,0.6868,2:06:57 ,vm03,
RESNET110,CIFAR100,27,183,0.9,Com,0.6897,2:37:44 ,vm03,
RESNET110,CIFAR100,27,179,0.875,Com,0.6918,2:50:46 ,vm03,
RESNET110,CIFAR100,27,175,0.85,Com,0.6925,3:05:43 ,vm03,
RESNET110,CIFAR100,27,166,0.8,Com,0.6938,3:36:13 ,vm03,
RESNET110,CIFAR100,27,114,0.5,Com,0.6930,5:15:39 ,vm03,
