epoch,accuracy
0,0.9352
1,0.9379
2,0.939
3,0.9375
4,0.9355
5,0.9402
6,0.9349
7,0.9385
8,0.9368
9,0.9412
10,0.9354
11,0.9354
12,0.9352
13,0.9378
14,0.9392
15,0.9395
16,0.9394
17,0.939
18,0.9395
19,0.9362
20,0.9406
21,0.9376
22,0.9365
23,0.9392
24,0.9388
25,0.9392
26,0.939
27,0.9395
28,0.9397
29,0.9405
30,0.9402
31,0.941
32,0.9397
33,0.9415
34,0.9377
35,0.9419
36,0.9404
37,0.9382
38,0.9368
39,0.9418
40,0.9404
41,0.9414
42,0.9403
43,0.9404
44,0.9407
45,0.9395
46,0.9413
47,0.9421
48,0.943
49,0.9422
50,0.9415
51,0.941
52,0.9435
53,0.9398
54,0.9409
55,0.9413
56,0.9402
57,0.9418
58,0.9402
59,0.9397
60,0.9424
61,0.9421
62,0.9407
63,0.9429
64,0.9391
65,0.942
66,0.9433
67,0.9432
68,0.9423
69,0.9424
70,0.9428
71,0.9401
72,0.9415
73,0.9431
74,0.9438
75,0.9398
76,0.9406
77,0.9443
78,0.9441
79,0.9426
80,0.9447
81,0.9458
82,0.9415
83,0.9428
84,0.9428
85,0.9421
86,0.9431
87,0.9419
88,0.9391
89,0.9437
90,0.9444
91,0.9435
92,0.9414
93,0.9413
94,0.9431
95,0.9427
96,0.9425
97,0.9412
98,0.9414
99,0.9427
100,0.9412
101,0.9414
102,0.9426
103,0.9417
104,0.9405
105,0.9412
106,0.9419
107,0.9433
108,0.9411
109,0.9434
110,0.9419
111,0.9422
112,0.9437
113,0.9408
114,0.9408
115,0.944
116,0.9445
117,0.9433
118,0.9418
119,0.9434
120,0.9443
121,0.9389
122,0.9419
123,0.9417
124,0.9434
125,0.9414
126,0.9421
127,0.9426
128,0.9418
129,0.9425
130,0.9432
131,0.9436
132,0.9418
133,0.9424
134,0.9439
135,0.9405
136,0.9423
137,0.9416
138,0.9419
139,0.9424
140,0.9445
141,0.9425
142,0.9395
143,0.9435
144,0.9442
145,0.9437
146,0.9438
147,0.9442
148,0.9431
149,0.944
150,0.9434
151,0.9426
152,0.9437
153,0.9422
154,0.9444
155,0.9441
156,0.9435
157,0.9437
158,0.9429
159,0.9438
160,0.9439
161,0.9436
162,0.9442
163,0.9447
164,0.9449
165,0.9437
166,0.9436
167,0.9444
168,0.9439
169,0.9428
170,0.9432
171,0.9443
172,0.944
173,0.944
174,0.9427
175,0.9438
176,0.9445
177,0.945
178,0.9439
179,0.9436
180,0.9437
181,0.9427
182,0.9434
183,0.9428
184,0.9452
185,0.9446
186,0.945
187,0.9442
188,0.9443
189,0.9449
190,0.9443
191,0.9447
192,0.944
193,0.9442
194,0.9448
195,0.9436
196,0.9451
197,0.9439
198,0.9431
199,0.9441
200,0.9441
