initial_epoch,model,dataset,k,accuracy
0,ResNet32,CIFAR10,1,0.9324
1,ResNet32,CIFAR10,1,0.9287
2,ResNet32,CIFAR10,1,0.9265
3,ResNet32,CIFAR10,1,0.9315
4,ResNet32,CIFAR10,1,0.9279
5,ResNet32,CIFAR10,1,0.9297
6,ResNet32,CIFAR10,1,0.9323
7,ResNet32,CIFAR10,1,0.9301
8,ResNet32,CIFAR10,1,0.9271
9,ResNet32,CIFAR10,1,0.9319
10,ResNet32,CIFAR10,1,0.93
11,ResNet32,CIFAR10,1,0.9287
12,ResNet32,CIFAR10,1,0.9293
13,ResNet32,CIFAR10,1,0.9293
14,ResNet32,CIFAR10,1,0.9289
15,ResNet32,CIFAR10,1,0.9291
16,ResNet32,CIFAR10,1,0.932
17,ResNet32,CIFAR10,1,0.9294
18,ResNet32,CIFAR10,1,0.9298
19,ResNet32,CIFAR10,1,0.9309
20,ResNet32,CIFAR10,1,0.9327
21,ResNet32,CIFAR10,1,0.9324
22,ResNet32,CIFAR10,1,0.9316
23,ResNet32,CIFAR10,1,0.9364
24,ResNet32,CIFAR10,1,0.9333
25,ResNet32,CIFAR10,1,0.9304
26,ResNet32,CIFAR10,1,0.9323
27,ResNet32,CIFAR10,1,0.9326
28,ResNet32,CIFAR10,1,0.93
29,ResNet32,CIFAR10,1,0.9288
30,ResNet32,CIFAR10,1,0.9308
31,ResNet32,CIFAR10,1,0.9305
32,ResNet32,CIFAR10,1,0.9313
33,ResNet32,CIFAR10,1,0.932
34,ResNet32,CIFAR10,1,0.9297
35,ResNet32,CIFAR10,1,0.9344
36,ResNet32,CIFAR10,1,0.9333
37,ResNet32,CIFAR10,1,0.934
38,ResNet32,CIFAR10,1,0.9334
39,ResNet32,CIFAR10,1,0.9294
40,ResNet32,CIFAR10,1,0.9318
41,ResNet32,CIFAR10,1,0.9317
42,ResNet32,CIFAR10,1,0.9335
43,ResNet32,CIFAR10,1,0.9337
44,ResNet32,CIFAR10,1,0.9329
45,ResNet32,CIFAR10,1,0.9339
46,ResNet32,CIFAR10,1,0.9346
47,ResNet32,CIFAR10,1,0.9307
48,ResNet32,CIFAR10,1,0.933
49,ResNet32,CIFAR10,1,0.9329
50,ResNet32,CIFAR10,1,0.935
51,ResNet32,CIFAR10,1,0.9321
52,ResNet32,CIFAR10,1,0.934
53,ResNet32,CIFAR10,1,0.9356
54,ResNet32,CIFAR10,1,0.9315
55,ResNet32,CIFAR10,1,0.9336
56,ResNet32,CIFAR10,1,0.9342
57,ResNet32,CIFAR10,1,0.9336
58,ResNet32,CIFAR10,1,0.9333
59,ResNet32,CIFAR10,1,0.9352
60,ResNet32,CIFAR10,1,0.9343
61,ResNet32,CIFAR10,1,0.9335
62,ResNet32,CIFAR10,1,0.9314
63,ResNet32,CIFAR10,1,0.9365
64,ResNet32,CIFAR10,1,0.935
65,ResNet32,CIFAR10,1,0.9325
66,ResNet32,CIFAR10,1,0.9336
67,ResNet32,CIFAR10,1,0.9331
68,ResNet32,CIFAR10,1,0.933
69,ResNet32,CIFAR10,1,0.935
70,ResNet32,CIFAR10,1,0.9364
71,ResNet32,CIFAR10,1,0.9328
72,ResNet32,CIFAR10,1,0.9335
73,ResNet32,CIFAR10,1,0.9346
74,ResNet32,CIFAR10,1,0.9354
75,ResNet32,CIFAR10,1,0.9343
76,ResNet32,CIFAR10,1,0.9352
77,ResNet32,CIFAR10,1,0.9361
78,ResNet32,CIFAR10,1,0.9352
79,ResNet32,CIFAR10,1,0.9337
80,ResNet32,CIFAR10,1,0.9343
81,ResNet32,CIFAR10,1,0.9368
82,ResNet32,CIFAR10,1,0.9364
83,ResNet32,CIFAR10,1,0.9371
84,ResNet32,CIFAR10,1,0.9316
85,ResNet32,CIFAR10,1,0.9342
86,ResNet32,CIFAR10,1,0.9359
87,ResNet32,CIFAR10,1,0.9322
88,ResNet32,CIFAR10,1,0.9354
89,ResNet32,CIFAR10,1,0.9331
